vendor_id,title,city,headcount_min,headcount_max,price_min,price_max,duration_hours,occasion,tags,updated_at,description
yacht_01,Sunset Yacht • 3h • up to 30 pax,Dubai,2,30,12000,18000,3,"corporate,party","yacht,sea,sunset",2025-09-20,"Premium 55ft yacht with crew. Soft drinks included. Marina departure. Ideal for corporate sundowners and birthdays."
desert_01,Desert Camp • 4h • up to 80 pax,Dubai,10,80,9000,14000,4,"corporate,party","desert,bbq,entertainment",2025-09-28,"Private Bedouin-style camp with BBQ buffet, live oud music, henna station. Optional dune bashing add-on."
roof_01,Rooftop Lounge • 5h • up to 120 pax,Abu Dhabi,20,120,25000,42000,5,"corporate,award","rooftop,cityview,live-dj",2025-08-29,"Skyline venue with stage, AV, and DJ. Perfect for award nights. Catering packages available."
hall_03,Ballroom • 6h • up to 300 pax,Dubai,50,300,45000,90000,6,"conference,award","ballroom,5-star,lighting",2025-07-03,"Grand hotel ballroom, configurable seating, premium lighting. Suits conferences and gala dinners."
beach_01,Beach Club • 4h • up to 150 pax,Dubai,15,150,18000,35000,4,"party,wedding","beach,pool,live-music",2025-10-15,"Exclusive beachfront venue with infinity pool, private beach access, and live DJ. Perfect for beach parties and destination weddings."
garden_01,Botanical Garden • 5h • up to 200 pax,Abu Dhabi,25,200,22000,45000,5,"wedding,corporate","garden,outdoor,nature",2025-09-10,"Lush botanical garden setting with covered pavilions, natural lighting, and floral arrangements. Ideal for outdoor weddings and garden parties."
museum_01,Art Gallery • 3h • up to 80 pax,Dubai,10,80,15000,28000,3,"corporate,exhibition","art,culture,exhibition",2025-10-05,"Contemporary art gallery with rotating exhibitions, AV equipment, and catering options. Perfect for corporate launches and cultural events."
spa_01,Luxury Spa • 2h • up to 40 pax,Abu Dhabi,5,40,8000,15000,2,"wellness,corporate","spa,wellness,relaxation",2025-09-25,"Premium spa facility with treatment rooms, relaxation areas, and wellness packages. Great for corporate wellness retreats and relaxation events."
sports_01,Sports Complex • 4h • up to 100 pax,Dubai,20,100,12000,25000,4,"corporate,team-building","sports,team-building,activities",2025-10-12,"Multi-sport facility with courts, equipment, and team-building activities. Perfect for corporate team building and sports events."
palace_01,Heritage Palace • 6h • up to 250 pax,Abu Dhabi,30,250,35000,65000,6,"wedding,award","palace,heritage,luxury",2025-08-15,"Historic palace venue with traditional architecture, grand halls, and cultural performances. Ideal for royal-style weddings and prestigious awards."
marina_01,Marina Deck • 3h • up to 60 pax,Dubai,8,60,10000,20000,3,"party,corporate","marina,waterfront,outdoor",2025-10-08,"Waterfront deck with marina views, outdoor seating, and bar service. Perfect for intimate gatherings and corporate networking."
tent_01,Bedouin Tent • 5h • up to 120 pax,Abu Dhabi,15,120,16000,30000,5,"wedding,party","tent,traditional,cultural",2025-09-18,"Authentic Bedouin tent with traditional decor, floor seating, and cultural entertainment. Great for traditional weddings and cultural celebrations."
club_01,Private Club • 4h • up to 90 pax,Dubai,12,90,20000,38000,4,"corporate,party","club,exclusive,premium",2025-10-20,"Exclusive private club with premium amenities, fine dining, and entertainment facilities. Perfect for VIP corporate events and exclusive parties."
courtyard_01,Historic Courtyard • 4h • up to 180 pax,Abu Dhabi,25,180,28000,50000,4,"wedding,corporate","courtyard,historic,outdoor",2025-09-30,"Historic courtyard with traditional architecture, fountain centerpiece, and outdoor dining. Ideal for romantic weddings and cultural corporate events."
yacht_01,Sunset Yacht • 3h • up to 30 pax,Dubai,2,30,12000,18000,3,"corporate,party","yacht,sea,sunset",2025-10-01,"Premium 55ft yacht with crew. Soft drinks included. Marina departure. Ideal for corporate sundowners and birthdays."
yacht_01,Morning Yacht • 2h • up to 25 pax,Dubai,2,25,9000,14000,2,"corporate,party","yacht,sea,morning",2025-10-01,"Same yacht operator - morning cruise package. Coffee and breakfast included. Perfect for morning meetings on the water."
yacht_01,Full Day Yacht • 8h • up to 30 pax,Dubai,5,30,35000,50000,8,"party,wedding","yacht,sea,luxury",2025-10-01,"Full day charter with lunch, snacks, water sports equipment. Same premium yacht service."
desert_01,Desert Camp • 4h • up to 80 pax,Dubai,10,80,9000,14000,4,"corporate,party","desert,bbq,entertainment",2025-09-28,"Private Bedouin-style camp with BBQ buffet, live oud music, henna station. Optional dune bashing add-on."
desert_01,VIP Desert Experience • 5h • up to 50 pax,Dubai,8,50,15000,22000,5,"corporate,party,wedding","desert,luxury,vip",2025-09-28,"Premium desert camp with upgraded menu, private falcon show, and luxury transport. Same operator, VIP service."
roof_01,Rooftop Lounge • 5h • up to 120 pax,Abu Dhabi,20,120,25000,42000,5,"corporate,award","rooftop,cityview,live-dj",2025-08-29,"Skyline venue with stage, AV, and DJ. Perfect for award nights. Catering packages available."
roof_01,Rooftop Sunset Package • 3h • up to 80 pax,Abu Dhabi,15,80,18000,28000,3,"party,corporate","rooftop,sunset,cocktails",2025-08-29,"Same rooftop venue - sunset cocktail package. DJ included, perfect for networking events."
hall_03,Ballroom • 6h • up to 300 pax,Dubai,50,300,45000,90000,6,"conference,award","ballroom,5-star,lighting",2025-07-03,"Grand hotel ballroom, configurable seating, premium lighting. Suits conferences and gala dinners."
beach_01,Beach Club • 4h • up to 150 pax,Dubai,15,150,18000,35000,4,"party,wedding","beach,pool,live-music",2025-10-15,"Exclusive beachfront venue with infinity pool, private beach access, and live DJ. Perfect for beach parties and destination weddings."
beach_01,Beach Club Daytime • 3h • up to 100 pax,Dubai,10,100,12000,22000,3,"party,corporate","beach,pool,daytime",2025-10-15,"Same beach club - daytime package. Pool access, lunch buffet, sun loungers. Great for casual gatherings."
garden_01,Botanical Garden • 5h • up to 200 pax,Abu Dhabi,25,200,22000,45000,5,"wedding,corporate","garden,outdoor,nature",2025-09-10,"Lush botanical garden setting with covered pavilions, natural lighting, and floral arrangements. Ideal for outdoor weddings and garden parties."
museum_01,Art Gallery • 3h • up to 80 pax,Dubai,10,80,15000,28000,3,"corporate,exhibition","art,culture,exhibition",2025-10-05,"Contemporary art gallery with rotating exhibitions, AV equipment, and catering options. Perfect for corporate launches and cultural events."
spa_01,Luxury Spa • 2h • up to 40 pax,Abu Dhabi,5,40,8000,15000,2,"wellness,corporate","spa,wellness,relaxation",2025-09-25,"Premium spa facility with treatment rooms, relaxation areas, and wellness packages. Great for corporate wellness retreats and relaxation events."
sports_01,Sports Complex • 4h • up to 100 pax,Dubai,20,100,12000,25000,4,"corporate,team-building","sports,team-building,activities",2025-10-12,"Multi-sport facility with courts, equipment, and team-building activities. Perfect for corporate team building and sports events."
palace_01,Heritage Palace • 6h • up to 250 pax,Abu Dhabi,30,250,35000,65000,6,"wedding,award","palace,heritage,luxury",2025-08-15,"Historic palace venue with traditional architecture, grand halls, and cultural performances. Ideal for royal-style weddings and prestigious awards."
marina_01,Marina Deck • 3h • up to 60 pax,Dubai,8,60,10000,20000,3,"party,corporate","marina,waterfront,outdoor",2025-10-08,"Waterfront deck with marina views, outdoor seating, and bar service. Perfect for intimate gatherings and corporate networking."
marina_01,Marina Evening Package • 4h • up to 80 pax,Dubai,10,80,15000,28000,4,"party,corporate","marina,evening,premium",2025-10-08,"Same marina location - evening package with extended hours, premium bar, and live music. Great for evening receptions."
tent_01,Bedouin Tent • 5h • up to 120 pax,Abu Dhabi,15,120,16000,30000,5,"wedding,party","tent,traditional,cultural",2025-09-18,"Authentic Bedouin tent with traditional decor, floor seating, and cultural entertainment. Great for traditional weddings and cultural celebrations."
club_01,Private Club • 4h • up to 90 pax,Dubai,12,90,20000,38000,4,"corporate,party","club,exclusive,premium",2025-10-20,"Exclusive private club with premium amenities, fine dining, and entertainment facilities. Perfect for VIP corporate events and exclusive parties."
courtyard_01,Historic Courtyard • 4h • up to 180 pax,Abu Dhabi,25,180,28000,50000,4,"wedding,corporate","courtyard,historic,outdoor",2025-09-30,"Historic courtyard with traditional architecture, fountain centerpiece, and outdoor dining. Ideal for romantic weddings and cultural corporate events."
new_vendor_01,Sky Lounge • 4h • up to 100 pax,Dubai,15,100,22000,40000,4,"corporate,party","skyline,modern,rooftop",2025-10-18,"Contemporary sky lounge with panoramic city views, modern decor, and full AV setup. Perfect for product launches and corporate parties."
new_vendor_02,Pearl Restaurant • 3h • up to 60 pax,Abu Dhabi,10,60,18000,32000,3,"corporate,intimate","fine-dining,elegant,private",2025-10-16,"Upscale restaurant with private dining rooms, Michelin-star chef, and wine cellar. Ideal for intimate corporate dinners and celebrations."
new_vendor_03,Adventure Park • 5h • up to 150 pax,Dubai,20,150,14000,28000,5,"team-building,party","adventure,outdoor,activities",2025-10-19,"Outdoor adventure park with zip-lines, obstacle courses, and team challenges. Perfect for team building and active group events."
new_vendor_04,Boutique Hotel Terrace • 4h • up to 70 pax,Abu Dhabi,12,70,16000,30000,4,"wedding,party","boutique,terrace,intimate",2025-10-17,"Charming boutique hotel rooftop terrace with string lights, garden setting, and personalized service. Great for intimate weddings."
